Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
-0.0894416 0.0943032 0.0194238 
-0.0889655 0.0969901 0.0204055 
-0.0890685 0.0969888 0.0194042 
-0.0887705 0.0969872 0.0214096 
-0.0887218 0.0874968 0.0134639 
-0.0883906 0.0874807 0.0144622 
-0.0883909 0.0874867 0.0154625 
-0.088603 0.087513 0.0164636 
-0.0886021 0.087516 0.0174642 
-0.0885609 0.087538 0.0184581 
-0.0891577 0.092949 0.0214162 
-0.089555 0.092956 0.0194329 
-0.089472 0.092961 0.0204149 
-0.0888224 0.0929368 0.0224135 
-0.0889386 0.0888873 0.0194501 
-0.0893681 0.0902559 0.0194368 
-0.0891009 0.0902275 0.0204481 
-0.0888276 0.090232 0.0214359 
-0.0895419 0.0916017 0.0194388 
-0.0893828 0.0916068 0.0204288 
-0.0890486 0.0915916 0.0214249 
-0.0821184 0.0782385 0.0256306 
-0.0832136 0.0770175 0.0194025 
-0.0831098 0.0777207 0.0215128 
-0.082659 0.0776741 0.0225196 
-0.0821806 0.0776422 0.0235195 
-0.0818093 0.0776109 0.0245029 
-0.0827793 0.0771313 0.0211566 
-0.0835056 0.0777286 0.0204901 
-0.0841907 0.078353 0.0198111 
-0.0822959 0.0773319 0.0228488 
-0.0824758 0.0764829 0.0200121 
-0.080968 0.0967089 0.0335048 
-0.0807821 0.0980376 0.0332837 
-0.0810169 0.0953587 0.0335948 
-0.0809296 0.0885877 0.0337432 
-0.0809192 0.0899278 0.0336764 
-0.0808858 0.0872378 0.0337267 
-0.0810292 0.0940061 0.0336494 
-0.0809093 0.0912865 0.0336272 
-0.0809226 0.0926448 0.0335946 
-0.0808373 0.0858965 0.0337281 
-0.0792715 0.107765 0.0320009 
-0.0797747 0.106127 0.0313842 
-0.0789197 0.104773 0.0326412 
-0.0794782 0.106106 0.0317497 
-0.0788525 0.107465 0.0324362 
-0.0790974 0.103427 0.0328545 
-0.0805064 0.103384 0.0314383 
-0.0800641 0.107437 0.0308747 
-0.0798409 0.103395 0.0321858 
-0.0802909 0.104732 0.0311813 
-0.0796195 0.104749 0.0319273 
-0.0801269 0.10608 0.0309775 
-0.078807 0.10613 0.032485 
-0.0800056 0.108388 0.0313605 
-0.0806729 0.108958 0.0307202 
-0.0802487 0.109228 0.032428 
-0.0786032 0.107051 0.0327104 
-0.0806691 0.107746 0.0299304 
-0.0803036 0.100707 0.0327244 
-0.0800217 0.102057 0.0324029 
-0.0798316 0.111318 -0.00180655 
-0.061937 0.111099 -0.0150221 
-0.0460367 0.115268 -0.015925 
-0.047221 0.115086 -0.0157836 
-0.0449755 0.115277 -0.0159431 
-0.0482812 0.115062 -0.0157267 
-0.0408808 0.115001 -0.0156637 
-0.0429656 0.115061 -0.0157138 
-0.0439904 0.115156 -0.0158426 
-0.041943 0.114992 -0.0156494 
-0.04739 0.113671 -0.0162364 
-0.0453052 0.113634 -0.0162273 
-0.0463694 0.113628 -0.0162147 
-0.0484141 0.113756 -0.016334 
-0.0476206 0.111206 -0.0176722 
-0.0485738 0.111377 -0.0178292 
-0.0465999 0.111104 -0.0175509 
-0.0465015 0.112315 -0.0168133 
-0.0475241 0.112407 -0.0169253 
-0.0454802 0.112265 -0.0167776 
-0.0485119 0.112536 -0.0170517 
-0.0455367 0.111121 -0.0175743 
-0.0431779 0.113636 -0.0162215 
-0.0444734 0.111133 -0.0175908 
-0.0444587 0.11222 -0.0167423 
-0.0433541 0.112279 -0.0167951 
-0.0410688 0.11258 -0.017122 
-0.0434138 0.111151 -0.0176174 
-0.0409771 0.113795 -0.0164017 
-0.0422677 0.111306 -0.0177858 
-0.0422106 0.112435 -0.0169649 
-0.0411191 0.111396 -0.0179091 
-0.0442438 0.113637 -0.0162318 
-0.0412638 0.110187 -0.018624 
-0.042033 0.113762 -0.0163433 
-0.0390625 0.110364 -0.0188163 
-0.0368977 0.110447 -0.0189068 
-0.0379579 0.11044 -0.0188969 
-0.0348481 0.110331 -0.0188 
-0.0358361 0.11045 -0.0189078 
-0.0376142 0.115213 -0.0159111 
-0.0397761 0.115072 -0.015742 
-0.0386776 0.11516 -0.0158482 
-0.0365515 0.115187 -0.0158874 
-0.03348 0.115008 -0.0157024 
-0.0345432 0.114978 -0.015669 
-0.035527 0.115134 -0.015836 
-0.0401614 0.110268 -0.0187071 
-0.0388306 0.112851 -0.0174267 
-0.0377685 0.112865 -0.0174473 
-0.0400219 0.111533 -0.0180322 
-0.0378644 0.111663 -0.0181901 
-0.0389284 0.111648 -0.0181691 
-0.0399713 0.112687 -0.0172474 
-0.038773 0.11398 -0.0166127 
-0.0398766 0.113891 -0.0165093 
-0.0376719 0.114063 -0.0167039 
-0.0366079 0.114094 -0.0167422 
-0.033501 0.113967 -0.0166209 
-0.0337268 0.111492 -0.0180397 
-0.0355455 0.11407 -0.0167228 
-0.0357372 0.111668 -0.0181975 
-0.0356427 0.112876 -0.017464 
-0.0346189 0.112824 -0.0174204 
-0.0335566 0.11282 -0.0174155 
-0.0347529 0.111555 -0.0180951 
-0.0367055 0.112873 -0.0174612 
-0.0338627 0.110196 -0.0186635 
